sender,receiver,edge_type
NGSS_tweeps,NGSS_tweeps,reply
PeggyAshbrook,aboutgeology,reply
PeggyAshbrook,NGSS_tweeps,reply
LynnFDR,NGSS_tweeps,reply
Xeno_lith,NGSS_tweeps,reply
Sweet_Marzipan,ThisIsNotDasha,reply
NGSS_tweeps,NGSS_tweeps,reply
NGSS_tweeps,NGSS_tweeps,reply
BMSscienceteach,NGSS_tweeps,reply
NGSS_tweeps,NGSS_tweeps,reply
NGSS_tweeps,NGSS_tweeps,reply
NGSS_tweeps,NGSS_tweeps,reply
Rogue1SciTchr,DerekWBlack,reply
bakerAandP,BMSscienceteach,reply
BMSscienceteach,NGSS_tweeps,reply
letminn0w,NGSS_tweeps,reply
JamazingTeachin,NGSS_tweeps,reply
dornhaus,SerenaTucci,reply
frankmcgowa,frankmcgowa,reply
SecaurPhysics,SecaurPhysics,reply
melbuk57,CaptainSmokiee,reply
Dc_o_Pn,Rubiu5,reply
LilyAdvocates,sbottasullivan,reply
Xeno_lith,weibertscience,reply
weibertscience,NGSS_tweeps,reply
Xeno_lith,NGSS_tweeps,reply
philiplbell,drloriandersen,reply
sbottasullivan,drloriandersen,reply
drloriandersen,sbottasullivan,reply
sbottasullivan,drloriandersen,reply
drloriandersen,sbottasullivan,reply
drloriandersen,sbottasullivan,reply
pnwscienceclass,pnwscienceclass,reply
TanyaHofler,Ketchteachsci6,reply
RealCurryBandit,Couch_Decksta,reply
caca_ricciardi,isadorameneezes,reply
sbottasullivan,Xeno_lith,reply
starrscience,warkscience,reply
Xeno_lith,NGSS_tweeps,reply
DC_STEMtastic,TdiShelton,reply
warkscience,starrscience,reply
TdiShelton,sbottasullivan,reply
sbottasullivan,NGSSchat,reply
digitaltidepool,TdiShelton,reply
KatieErb4,TdiShelton,reply
TdiShelton,LeenaBMc,reply
bbarent,TdiShelton,reply
LeenaBMc,TdiShelton,reply
bbarent,TedWillard2061,reply
TdiShelton,randiejohnson5,reply
TdiShelton,digitaltidepool,reply
TdiShelton,jrosenberg6432,reply
TdiShelton,racheljcox87,reply
TdiShelton,mspallas89,reply
racheljcox87,TdiShelton,reply
TdiShelton,2footgiraffe,reply
TdiShelton,BK3DSci,reply
Xeno_lith,Xeno_lith,reply
phaneritic,JaredDahlAldern,reply
Xeno_lith,NGSS_tweeps,reply
Xeno_lith,NGSS_tweeps,reply
PVH_Adiris,IwadaMiyuki,reply
MrsEtense,weibertscience,reply
weibertscience,MrsEtense,reply
warkscience,NGSS_tweeps,reply
MrsEtense,NGSS_tweeps,reply
warkscience,starrscience,reply
kmgill135,kmgill135,reply
les93630,NGSS_tweeps,reply
les93630,NGSS_tweeps,reply
les93630,NGSS_tweeps,reply
ScienceIsFUN4us,racheljcox87,reply
momonon1118,A_Usamin,reply
starrscience,NGSS_tweeps,reply
InsightersEd,NGSS_tweeps,reply
tee_donohue,Warnerscience,reply
drloriandersen,NGSS_tweeps,reply
kassiaowedekind,thinksci,reply
NYStrahansGap,PFF_Giants,reply
PhyzzyMauro,NGSS_tweeps,reply
LimestoneSTEAM,RC_STEAM,reply
DrPrinceEdu,NGSS_tweeps,reply
ydlabs,ngss_official,reply
Xeno_lith,NGSS_tweeps,reply
TracyAEBG,NGSS_tweeps,reply
PhyzzyMauro,NGSS_tweeps,reply
honeypieth,blurjh,reply
ccc_thinking,ccc_thinking,reply
Jleescience,NGSS_tweeps,reply
Duck_TapeCH,Dgkickass,reply
22dlb,goodreads,reply
EmilyKangNY,thinksci,reply
msruggerio,MartaStoeckel,reply
ShobeScience,NGSS_tweeps,reply
VogelWendi,NGSS_tweeps,reply
FabienBarthez12,LjubomirovicM,reply
KRScienceLady,NGSS_tweeps,reply
dreramirez3,NGSS_tweeps,reply
marticanipe,drloriandersen,reply
fultondl7,NGSS_tweeps,reply
drloriandersen,NGSS_tweeps,reply
drloriandersen,NGSS_tweeps,reply
the_fish_nerd,NGSS_tweeps,reply
DrDSteele_PhD,NGSS_tweeps,reply
garba6ee,itsknessa,reply
MrsEatonELL,MrsEatonELL,reply
rachelbconnolly,NGSS_tweeps,reply
flabellinaJG,OkheeLee_,reply
kmgill135,drloriandersen,reply
jeansciqueen,racheljcox87,reply
jeansciqueen,NGSS_tweeps,reply
Bustamante_AS,NGSS_tweeps,reply
jcantonw,NGSS_tweeps,reply
drloriandersen,NGSS_tweeps,reply
les93630,flabellinaJG,reply
SchulerScience,NGSS_tweeps,reply
eveimanz,kmgill135,reply
NGSS_tweeps,NGSS_tweeps,reply
brinkmanscience,MrsEatonELL,reply
PedroNoogueiira,GLaktim,reply
Xeno_lith,NGSS_tweeps,reply
KRScienceLady,flabellinaJG,reply
NGSS_tweeps,Xeno_lith,reply
Xeno_lith,NGSS_tweeps,reply
Xeno_lith,NGSS_tweeps,reply
kmgill135,kmgill135,reply
kmgill135,racheljcox87,reply
kmgill135,drloriandersen,reply
drloriandersen,racheljcox87,reply
racheljcox87,drloriandersen,reply
NGSS_tweeps,Wright_GHS,reply
drloriandersen,racheljcox87,reply
joonstopper,etvrnally,reply
MsCorene,MsCorene,reply
MsCorene,NGSS_tweeps,reply
kyle_kauffman,GitterMaria,reply
kmgill135,KRenaeP,reply
mbraaten,NGSS_tweeps,reply
thinksci,NGSS_tweeps,reply
amaebigyokou828,amaebigyokou828,reply
betsyd1115,thinksci,reply
VogelWendi,KRenaeP,reply
flabellinaJG,CTSKeeley,reply
JessicaFGWrites,NGSS_tweeps,reply
harristeaches,NGSS_tweeps,reply
MrSwartScience,NGSS_tweeps,reply
_9kodaka,tsutayadaisuki,reply
digitaltidepool,NGSS_tweeps,reply
hayye_ve_mundya,meme_ki_diwani,reply
sara_d_nelson,NGSS_tweeps,reply
JessicaFGWrites,NGSS_tweeps,reply
patti_works,CTSKeeley,reply
perrichem1,WH_MSRAMS,reply
CTSKeeley,NGSS_tweeps,reply
MiLataConPiolin,KukaTrap61,reply
pkstrode,KGrayson_UR,reply
CTSKeeley,NGSS_tweeps,reply
digitaltidepool,CariWilliamz,reply
TKSanthosh001,ngss_official,reply
TKSanthosh001,ngss_official,reply
frankmcgowa,weibertscience,reply
DanAlve27480116,rjovaneli,reply
phenomonica,NGSS_tweeps,reply
GazaEzekiel,JumiaNigeria,reply
Kzm9630,oyun_goopachi,reply
almariquita,almariquita,reply
