sender,receiver,professional_role,professional_role_10_text_coded,freq_use,length_of_use,confidence_ngss,know_framework,know_ngss,use_of_ngsschat
wandabryant,thinksci,NA,NA,NA,NA,NA,NA,NA,NA
bmsscienceteach,vogelwendi,Teacher,NA,Monthly,3 years or more,Good,Good,Good,Daily
anne_mayre,triscicurious,Teacher,NA,Every other week,3 years or more,Good,Good,Excellent,2-3 times a week
achosinfo,dtcampbe,Other,consultant,Every other week,3 years or more,Average,Good,Good,Frequency of use varies (please describe)
mslorisstory,kmgill135,Instructional Leader,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Monthly
lyn13360,philiplbell,NA,NA,NA,NA,NA,NA,NA,NA
scijeanne,ksscienceguy,Organization,researcher,Every other week,3 years or more,Excellent,Excellent,Excellent,2-3 times a week
sbottasullivan,digitaltidepool,Instructional Leader,NA,Every other week,1- 2 years,Good,Good,Good,2-3 times a week
auntjennoelle,tjscience,Instructional Leader,administrator,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Once a week
corabelle1974,krsciencelady,Teacher,NA,Frequency of use varies (please describe),2- 3 years,Average,Good,Good,Daily
ksscienceguy,philliplbell,Organization,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Frequency of use varies (please describe)
tksciguy,mrsljscience,Teacher,NA,Monthly,3 years or more,Good,Good,Good,Once a week
mistersci,philiplbell,Teacher,NA,Every other week,2- 3 years,Good,Good,Good,Once a week
digitaltidepool,kmgill135,Teacher,NA,Participated once or twice,3 years or more,Good,Good,Good,Monthly
eacole09,dtcampbe,Instructional Leader,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Monthly
kimmomteacher,drloriandersen,Teacher,NA,Every other week,1- 2 years,Average,Average,Average,Once a week
kimmomteacher,drloriandersen,Teacher,NA,Monthly,3 years or more,Average,Average,Average,Once a week
wisdpiscience,tjscience,Instructional Leader,administrator,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Frequency of use varies (please describe)
kimmomteacher,krenaep,Teacher,NA,Every other week,1- 2 years,Average,Average,Average,Once a week
kimmomteacher,krenaep,Teacher,NA,Monthly,3 years or more,Average,Average,Average,Once a week
krsciencelady,kmgill135,Organization,consultant,Every other week,3 years or more,Good,Good,Good,Daily
krsciencelady,kmgill135,Organization,NA,Every other week,3 years or more,Good,Good,Good,2-3 times a week
hhereau,reiserbrianj,Organization,coach,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Monthly
annamccarroll,mrmiller,Teacher,NA,Monthly,3 years or more,Good,Good,Good,2-3 times a week
cariwilliamz,tjscience,Instructional Leader,researcher,Participated once or twice,3 years or more,Excellent,Excellent,Excellent,Once a week
krsciencelady,philiplbell,Organization,consultant,Every other week,3 years or more,Good,Good,Good,Daily
krsciencelady,philiplbell,Organization,NA,Every other week,3 years or more,Good,Good,Good,2-3 times a week
raazzerah,myscihi,Instructional Leader,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Daily
leena219,hood_biologist,NA,NA,NA,NA,NA,NA,NA,NA
krademaker,tdishelton,Organization,consultant,Every other week,3 years or more,Excellent,Excellent,Excellent,2-3 times a week
33heupel,pentaclethra,Teacher,NA,Participated once or twice,3 years or more,Average,Average,Average,Frequency of use varies (please describe)
kollmanrebecca,ngssphenomena,Teacher,NA,Frequency of use varies (please describe),3 years or more,Average,Average,Good,Once a week
tkatovich,stemteachtools,Teacher,NA,Participated once or twice,3 years or more,Excellent,Excellent,Excellent,Monthly
missdematteo,rarapenguin,Organization,NA,Monthly,2- 3 years,Average,Good,Average,2-3 times a week
calliescience,stemteachtools,Teacher,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Monthly
bowtie_sciguy,2footgiraffe,NA,NA,NA,NA,NA,NA,NA,NA
dramyhimes,les93630,NA,NA,NA,NA,NA,NA,NA,NA
