"name","indegree_all","betweenness_all","indegree_reply","betweenness_reply","indegree_retweet","betweenness_retweet","indegree_mention","betweenness_mention","responded","indegree_survey","betweenness_survey","professional_role","professional_role_10_text_coded","freq_use","length_of_use","confidence_ngss","know_framework","know_ngss","use_of_ngsschat","code"
"johannabrown",56,32949.2364627345,12,841.353538653356,11,1424.47420986298,33,34108.1860463032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"haschweingruber",56,31574.8408820541,3,1133.87500381525,15,3064.86393231249,38,33346.0199844025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stem4real",55,16091.0860306321,1,3.50258099388534,8,748.786374929992,46,18269.148778624,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,"Organization"
"krenaep",54,0,11,0,NA,NA,43,0,FALSE,8,0,NA,NA,NA,NA,NA,NA,NA,NA,"Instructional Leader"
"bscsorg",53,31273.7030675104,NA,NA,8,1314.23372991317,45,31786.5774543174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"innerorbitedu",53,35201.8524256178,1,0,25,4434.20762580927,27,34168.5686964277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sammonsteam",53,16037.8111775473,NA,NA,24,2541,29,15569.1416263653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"solidstartteam1",52,4723.80243348096,NA,NA,0,0,52,5902.35857259354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abadri09",51,11933.4324685755,3,1.65079365079365,10,409.454275881142,38,11904.289751303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cindylkern",51,19113.7501971537,NA,NA,18,4127.68039633189,33,19304.3937242897,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"Researcher"
"sepup_ucb",51,11809.7455232029,NA,NA,5,3344.64912280716,46,12737.3702591037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jeansciqueen",50,95718.3701860757,7,1831.72107742653,16,2967.18245167556,27,94955.122720988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msvickscience",50,10542.7740133658,6,1608.25830548809,15,0,29,9777.95611890452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"profcrnkypants",49,53718.4363052019,3,3235.22087855949,16,4012.13063495893,30,53705.779498492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jamazingteachin",49,80390.6848915086,5,1276,18,17984.5970378621,26,74438.7978249732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xeno_lith",48,447065.812040372,14,24662.5912984669,8,18203.5568980211,26,433404.408562927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"learninplaces",48,11478.2014399733,2,0,11,1419.275987876,35,12486.2039300367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ashley_green2",48,34138.1472954841,11,3045.50579453268,6,118.149470951556,31,28646.0035354401,TRUE,1,26,"Teacher",NA,"Every other week","3 years or more","Good","Good","Good","Monthly","Teacher"
"newshour",48,0,NA,NA,0,0,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thenasem",48,0,NA,NA,NA,NA,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meganbang3",48,0,NA,NA,NA,NA,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pltworg",47,11178.4242424242,NA,NA,16,0,31,11179.7142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iris_epo",47,0,NA,NA,21,0,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flipgrid",47,0,NA,NA,NA,NA,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nicolejbolduc",46,8537.42810752903,2,0,6,762.322390992744,38,9128.14549791035,TRUE,0,0,"Teacher",NA,"Participated once or twice","3 years or more","Excellent","Good","Excellent","Monthly","Teacher"
"williamfranzell",46,171139.440228748,0,0,11,3067.34445888627,35,168576.605247725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nmnh",46,0,1,0,20,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"auntjennoelle",45,160822.656465941,3,558.175682237925,19,10767.6458669262,23,153420.564106589,TRUE,0,0,"Instructional Leader","administrator","Frequency of use varies (please describe)","3 years or more","Excellent","Excellent","Excellent","Once a week","Instructional Leader"
"mrseatonell",44,27348.3907770009,3,0,18,0,23,26929.4797875448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alliebbogart",44,61476.736678965,2,899.470121148692,18,6996.55686022229,24,59436.5272266244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
